,C.A.,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,Galicia,2.761.989,2.747.226,2.734.656,2.720.102,2.710.216,2.703.149,2.700.441,2.702.592,2.696.876,2.691.456
1,Principado de Asturias,1.067.797,1.058.975,1.049.875,1.040.925,1.034.302,1.027.624,1.022.205,1.018.899,1.012.889,1.006.234
2,Cantabria,590.036,587.682,585.359,582.504,581.490,581.294,581.641,582.388,583.655,584.368
3,País Vasco,2.177.006,2.167.166,2.165.100,2.164.066,2.167.323,2.170.868,2.177.880,2.189.138,2.185.908,2.176.918
4,Comunidad Foral de Navarra,638.948,636.450,636.402,637.486,640.353,643.866,649.946,656.509,657.654,659.155
5,La Rioja,318.647,315.223,313.569,312.810,312.624,312.884,313.571,315.931,316.176,315.916
6,Aragón,1.338.316,1.331.301,1.326.403,1.318.571,1.316.072,1.313.135,1.320.586,1.330.333,1.331.133,1.314.159
7,Comunidad de Madrid,6.414.620,6.378.297,6.385.298,6.424.275,6.476.838,6.549.520,6.641.649,6.747.068,6.755.828,6.769.373
8,Castilla y León,2.518.560,2.495.689,2.478.079,2.454.454,2.435.951,2.418.556,2.407.733,2.401.307,2.386.649,2.376.687
9,Castilla-la Mancha,2.094.406,2.075.197,2.062.767,2.048.900,2.040.977,2.032.595,2.034.877,2.045.554,2.048.656,2.049.980
10,Cataluña,7.480.921,7.416.237,7.396.991,7.408.290,7.441.284,7.488.718,7.566.431,7.652.348,7.671.252,7.679.192
11,Extremadura,1.100.970,1.096.421,1.091.623,1.084.969,1.077.525,1.070.453,1.065.424,1.061.979,1.057.999,1.053.317
12,Comunitat Valenciana,4.987.011,4.956.427,4.939.674,4.932.347,4.935.182,4.946.233,4.974.969,5.029.341,5.047.045,5.072.550
13,Illes Balears,1.110.112,1.115.841,1.124.972,1.135.527,1.150.962,1.166.923,1.188.220,1.210.725,1.219.775,1.223.980
14,Andalucía,8.393.175,8.388.875,8.399.618,8.403.774,8.408.976,8.410.095,8.427.405,8.478.083,8.502.216,8.519.106
15,Región de Murcia,1.461.983,1.461.803,1.463.773,1.466.474,1.472.991,1.475.569,1.487.663,1.504.869,1.513.076,1.522.516
16,Ciudad de Ceuta,84.539,84.674,84.692,84.652,85.034,85.209,84.829,84.085,83.517,82.513
17,Ciudad de Melilla,83.620,83.870,84.570,84.764,84.946,84.708,84.689,84.473,84.022,83.236
18,Canarias,2.105.234,2.114.845,2.126.144,2.135.209,2.154.978,2.177.048,2.206.901,2.236.992,2.244.369,2.252.237
